Product,Type,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,Perf_per_Watt
Intel Core i5-1035G1,CPU,10.0,25.0,148.0,624.0,1000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,68.58
Intel Celeron N2930,CPU,22.0,7.0,148.0,624.0,1830.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,244.92857142857142
Intel Pentium 4 2.4,CPU,130.0,92.0,146.0,55.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.63586956521739
AMD EPYC 7551P,CPU,14.0,180.0,213.0,4800.0,2000.0,30313.0,81.93,1719.0,4.65,180.0,168.4,32.0,168.40555555555557
AMD Athlon XP-M 2000+,CPU,130.0,45.0,101.0,63.0,1533.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
Intel Core i3-2102,CPU,32.0,65.0,131.0,504.0,3100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Ryzen 7 4700GE,CPU,7.0,35.0,148.0,624.0,3100.0,20392.0,15.04,2727.0,7.77,35.0,582.62,8.0,582.6285714285714
AMD A6-3400M,CPU,32.0,35.0,228.0,1178.0,1400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD EPYC 7451,CPU,14.0,180.0,213.0,4800.0,2300.0,20471.0,10.16,1975.0,0.98,180.0,113.73,24.0,113.72777777777777
Intel Atom Z510PT,CPU,45.0,2.0,26.0,47.0,1100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,857.25
AMD Ryzen 7 PRO 3700U,CPU,12.0,15.0,210.0,4940.0,2300.0,7310.0,15.04,2009.0,7.77,15.0,487.33,4.0,487.3333333333333
AMD Athlon 64 X2 5200+,CPU,90.0,89.0,220.0,154.0,2600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,19.264044943820224
AMD Athlon 64 X2 4200+,CPU,90.0,89.0,220.0,154.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,19.264044943820224
Intel Pentium 4 HT 641,CPU,65.0,86.0,81.0,188.0,3200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,19.936046511627907
Intel Core M-5Y10a,CPU,14.0,5.0,50.0,624.0,800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,342.9
AMD Athlon II X2 260,CPU,45.0,65.0,117.0,410.0,3200.0,1113.0,27.83,1249.0,31.24,65.0,17.12,2.0,17.123076923076923
Intel Pentium 4 HT 524,CPU,90.0,84.0,109.0,125.0,3060.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.410714285714285
AMD Opteron 840,CPU,130.0,82.0,193.0,106.0,1400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.908536585365855
AMD Athlon 64 X2 4600+,CPU,65.0,65.0,126.0,154.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Pentium 4-M 1.60,CPU,130.0,30.0,131.0,55.0,1600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,57.15
Intel Pentium M 780,CPU,90.0,27.0,84.0,140.0,2260.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,63.5
AMD A8-3850,CPU,32.0,100.0,228.0,1178.0,2900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,17.145
Intel Celeron G540T,CPU,32.0,35.0,131.0,504.0,2100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD Opteron 240 EE,CPU,130.0,30.0,193.0,106.0,1400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,57.15
AMD Opteron 3380,CPU,32.0,65.0,315.0,1200.0,2600.0,4134.0,5.11,1107.0,1.37,65.0,63.6,8.0,63.6
Intel Core i7-640M,CPU,32.0,35.0,81.0,384.0,2800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
Intel Xeon E5-2403 v2,CPU,22.0,80.0,160.0,1400.0,1800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,21.43125
Intel Pentium G640,CPU,32.0,65.0,131.0,504.0,2800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Core 2 Duo U7500,CPU,65.0,10.0,111.0,293.0,1073.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,171.45
Intel Xeon E3-1230,CPU,32.0,80.0,216.0,1160.0,3200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,21.43125
Intel Pentium Dual-Core E2160,CPU,65.0,65.0,77.0,105.0,1800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Pentium 997,CPU,32.0,17.0,131.0,504.0,1600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,100.8529411764706
Intel Xeon Phi 7295,CPU,14.0,320.0,148.0,8000.0,1500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,5.3578125
AMD Athlon II X3 440,CPU,45.0,95.0,169.0,300.0,3000.0,1718.0,116.42,1220.0,82.65,95.0,18.09,3.0,18.08421052631579
AMD Phenom II X6 1055T (125W),CPU,45.0,125.0,346.0,904.0,2800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.716
Intel Core i7-9750H,CPU,14.0,45.0,149.0,624.0,2600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
AMD Ryzen 3 PRO 1300,CPU,14.0,65.0,192.0,4800.0,3200.0,7717.0,15.04,2229.0,7.77,65.0,118.73,4.0,118.72307692307692
Intel Core i5-3470S,CPU,22.0,65.0,133.0,624.0,2900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Sempron 3100+,CPU,90.0,25.0,148.0,63.0,1800.0,298.0,4.58,383.0,5.89,62.0,4.8,1.0,11.92
Intel Xeon 5148,CPU,65.0,40.0,148.0,624.0,2333.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,42.8625
AMD Athlon XP-M 3000+,CPU,130.0,45.0,101.0,63.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
Intel Core i5-7640X,CPU,14.0,112.0,148.0,624.0,3900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,15.308035714285714
AMD Sempron 2600+,CPU,130.0,62.0,101.0,63.0,1833.0,253.0,7.23,325.0,9.31,65.0,,1.0,4.080645161290323
AMD FX-8320E,CPU,32.0,95.0,315.0,1200.0,3200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
AMD Athlon X2 5050e,CPU,65.0,45.0,126.0,154.0,2600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
AMD Ryzen 5 PRO 2500U,CPU,14.0,15.0,246.0,624.0,2000.0,6921.0,15.04,1829.0,7.77,15.0,461.43,4.0,461.4
Intel Core i5-4690K,CPU,22.0,88.0,177.0,1400.0,3500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,19.482954545454547
Intel Core i7-4850EQ,CPU,22.0,47.0,264.0,1400.0,1600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,36.47872340425532
AMD EPYC 7301,CPU,14.0,170.0,213.0,4800.0,2200.0,14991.0,9.99,1363.0,0.91,155.0,96.72,16.0,88.18235294117648
AMD EPYC 7551,CPU,14.0,180.0,213.0,4800.0,2000.0,22005.0,7.4,1736.0,0.58,180.0,122.25,32.0,122.25
Intel Core i5-4440,CPU,22.0,84.0,177.0,1400.0,3100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.410714285714285
Intel Pentium G3460,CPU,22.0,54.0,177.0,1400.0,3500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,31.75
Intel Celeron G5900,CPU,14.0,58.0,148.0,624.0,3400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,29.560344827586206
AMD Athlon 1300,CPU,180.0,68.0,120.0,37.0,1300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,25.21323529411765
Intel Xeon Phi 7210F,CPU,14.0,230.0,148.0,8000.0,1300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,7.4543478260869565
Intel Core 2 Duo U7700,CPU,65.0,10.0,111.0,293.0,1333.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,171.45
Intel Xeon E7-8860,CPU,32.0,130.0,513.0,2600.0,2276.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.188461538461539
AMD Opteron 2350 HE,CPU,65.0,79.0,285.0,463.0,2000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,21.70253164556962
Intel Xeon 3.06,CPU,130.0,89.0,217.0,55.0,3066.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,19.264044943820224
Intel Core i5-3610ME,CPU,22.0,35.0,118.0,624.0,2700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD Athlon 64 1500+,CPU,90.0,9.0,84.0,69.0,1000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,190.5
AMD Sempron 3100+,CPU,90.0,62.0,84.0,63.0,1800.0,298.0,4.58,383.0,5.89,62.0,4.8,1.0,4.806451612903226
AMD Sempron 3400+,CPU,90.0,62.0,103.0,81.0,1800.0,292.0,3.37,346.0,3.99,62.0,4.71,1.0,4.709677419354839
AMD Mobile Athlon 64 3200+,CPU,130.0,82.0,193.0,106.0,2000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.908536585365855
AMD Athlon 3000G,CPU,14.0,35.0,148.0,4800.0,3500.0,4480.0,81.47,1999.0,36.36,35.0,128.01,2.0,128.0
Intel Xeon X5687,CPU,32.0,130.0,239.0,1170.0,3600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.188461538461539
AMD Phenom X3 8850,CPU,65.0,95.0,285.0,450.0,2500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
AMD Sempron 2200+,CPU,130.0,62.0,80.0,37.0,1500.0,184.0,4.6,279.0,6.99,65.0,,1.0,2.967741935483871
Intel Pentium 4 1.9,CPU,180.0,69.0,217.0,42.0,1900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,24.847826086956523
AMD Phenom X4 9600B,CPU,65.0,95.0,285.0,450.0,2300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
AMD Opteron 842,CPU,90.0,85.0,148.0,106.0,1600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.17058823529412
AMD Athlon XP 1800+,CPU,130.0,51.0,80.0,37.0,1533.0,195.0,3.83,301.0,5.9,66.0,2.96,1.0,3.823529411764706
Intel Xeon Platinum 8180M,CPU,14.0,205.0,148.0,8000.0,2500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,8.363414634146341
Intel Core i3-2100T,CPU,32.0,35.0,131.0,504.0,2500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD Sempron 2600+,CPU,90.0,25.0,148.0,63.0,1600.0,253.0,7.23,325.0,9.31,65.0,,1.0,10.12
AMD Athlon XP 2500+,CPU,130.0,68.0,101.0,63.0,1833.0,231.0,15.04,353.0,7.77,65.0,,1.0,3.3970588235294117
Intel Pentium III  933,CPU,180.0,27.0,80.0,44.0,933.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,63.5
Intel Pentium P6100,CPU,32.0,35.0,81.0,384.0,2000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
Intel Core 2 Duo U7700,CPU,65.0,10.0,111.0,293.0,1333.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,171.45
Intel Celeron G1101,CPU,32.0,73.0,81.0,382.0,2266.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,23.486301369863014
Intel Pentium M 760,CPU,90.0,27.0,84.0,140.0,2000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,63.5
AMD Opteron 3350 HE,CPU,32.0,45.0,315.0,1200.0,2800.0,2825.0,7.21,1362.0,3.47,45.0,62.78,4.0,62.77777777777778
AMD Athlon 64 3200+,CPU,90.0,67.0,83.0,69.0,2000.0,340.0,2.27,568.0,3.79,62.0,5.48,1.0,5.074626865671642
Intel Xeon MP 7030 Dual-Core,CPU,90.0,135.0,213.0,200.0,2800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,12.7
AMD A8-5557M,CPU,32.0,35.0,246.0,1178.0,2100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
Intel Celeron 857,CPU,32.0,17.0,131.0,504.0,1200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,100.8529411764706
AMD Ryzen 3 5300G,CPU,7.0,65.0,148.0,624.0,4000.0,13139.0,15.04,3055.0,7.77,65.0,202.14,4.0,202.13846153846154
Intel Pentium 4-M 2.50,CPU,130.0,35.0,131.0,55.0,2500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
Intel Core i3-10325,CPU,14.0,65.0,148.0,624.0,3900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD EPYC 7542,CPU,7.0,225.0,74.0,3800.0,2900.0,56728.0,31.69,2207.0,1.23,225.0,252.13,32.0,252.12444444444444
AMD Athlon 64 3000+,CPU,90.0,62.0,183.0,154.0,1800.0,303.0,15.13,506.0,25.31,89.0,3.4,1.0,4.887096774193548
AMD E2-2000,CPU,40.0,18.0,75.0,624.0,1750.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,95.25
Intel Pentium 4-M 1.90,CPU,130.0,32.0,131.0,55.0,1900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,53.578125
AMD Athlon 64 X2 3600+,CPU,65.0,65.0,126.0,154.0,1900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD EPYC 7402P,CPU,7.0,180.0,74.0,3800.0,2800.0,41741.0,29.21,1970.0,1.38,180.0,231.9,24.0,231.89444444444445
Intel Core i7-880,CPU,45.0,95.0,296.0,774.0,3066.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
Intel Pentium 4 HT 561,CPU,90.0,115.0,109.0,125.0,3600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,14.908695652173913
Intel Pentium 4 HT 661,CPU,65.0,86.0,81.0,188.0,3600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,19.936046511627907
Intel Pentium Dual-Core T4500,CPU,45.0,35.0,107.0,410.0,2300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
Intel Core i5-655K,CPU,32.0,73.0,81.0,382.0,3200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,23.486301369863014
AMD Opteron 144,CPU,130.0,85.0,193.0,106.0,1800.0,316.0,10.55,376.0,12.56,67.0,4.72,1.0,3.7176470588235295
Intel Pentium 4 HT 2.8E,CPU,90.0,115.0,109.0,125.0,2800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,14.908695652173913
Intel Core i7-11700,CPU,14.0,65.0,148.0,624.0,2500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Xeon Platinum 9221,CPU,14.0,250.0,148.0,8000.0,2100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,6.858
AMD EPYC 7H12,CPU,7.0,280.0,74.0,3800.0,2600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,6.123214285714286
Intel Core i5-9400F,CPU,14.0,65.0,148.0,624.0,2900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Phenom II X2 B55,CPU,45.0,80.0,258.0,758.0,3000.0,1151.0,30.34,1244.0,32.79,80.0,14.39,2.0,14.3875
AMD Athlon 64 LE-1600,CPU,90.0,45.0,3.0,154.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
Intel Core i7-7820X,CPU,14.0,140.0,148.0,624.0,3600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,12.246428571428572
AMD Opteron 148,CPU,130.0,89.0,193.0,106.0,2200.0,392.0,15.04,443.0,7.77,85.3,4.6,1.0,4.404494382022472
Intel Core i3-2328M,CPU,32.0,35.0,149.0,624.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
Intel Core i5-4690,CPU,22.0,84.0,177.0,1400.0,3400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.410714285714285
Intel Core i9-10940X,CPU,14.0,165.0,148.0,624.0,3300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,10.39090909090909
AMD Athlon II X3 450,CPU,45.0,95.0,169.0,300.0,3200.0,1763.0,62.91,1292.0,46.12,95.0,18.56,3.0,18.557894736842105
Intel Xeon E3-1235,CPU,32.0,95.0,216.0,1160.0,3200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
AMD Athlon 64 FX-76,CPU,90.0,125.0,235.0,227.0,3200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.716
Intel Xeon E5-2670 v2,CPU,22.0,115.0,160.0,1400.0,2500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,14.908695652173913
Intel Atom E640,CPU,45.0,3.0,26.0,47.0,1000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,571.5
AMD Athlon 950,CPU,180.0,52.0,120.0,37.0,950.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,32.97115384615385
AMD Athlon X2 7850 BE,CPU,65.0,95.0,285.0,450.0,2800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
Intel Core 2 Extreme QX9300,CPU,45.0,45.0,107.0,624.0,2534.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
AMD Sempron 2600+,CPU,90.0,62.0,84.0,63.0,1600.0,253.0,7.23,325.0,9.31,65.0,,1.0,4.080645161290323
Intel Xeon Phi 3110X,CPU,22.0,300.0,350.0,5000.0,1053.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,5.715
AMD EPYC 7702,CPU,7.0,200.0,74.0,3800.0,2000.0,71646.0,17.91,2097.0,0.52,200.0,358.23,64.0,358.23
Intel Celeron G1620,CPU,22.0,55.0,94.0,624.0,2700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,31.172727272727272
Intel Core 2 Duo E8400,CPU,45.0,65.0,104.0,410.0,3000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Xeon L5506,CPU,45.0,60.0,263.0,731.0,2133.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,28.575
AMD Athlon 64 3500+,CPU,130.0,89.0,193.0,106.0,2200.0,396.0,4.95,568.0,7.1,45.0,8.8,1.0,4.449438202247191
Intel Xeon Phi 5110P,CPU,22.0,225.0,350.0,5000.0,1053.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,7.62
Intel Core i3-4330T,CPU,22.0,35.0,177.0,1400.0,3000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD Ryzen 5 5600X,CPU,7.0,65.0,148.0,624.0,3700.0,22088.0,101.79,3377.0,15.56,65.0,339.82,6.0,339.81538461538463
Intel Xeon Gold 5315Y,CPU,10.0,140.0,148.0,624.0,3200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,12.246428571428572
AMD FX-8100,CPU,32.0,95.0,315.0,1200.0,2800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
AMD Ryzen Threadripper 1940,CPU,14.0,180.0,213.0,9600.0,3200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,9.525
Intel Xeon Phi 7120D,CPU,22.0,270.0,350.0,5000.0,1238.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,6.35
AMD Sempron 2800+,CPU,90.0,62.0,148.0,63.0,1600.0,243.0,8.11,408.0,13.63,62.0,3.92,1.0,3.9193548387096775
AMD Mobile Athlon 64 2800+,CPU,130.0,82.0,193.0,106.0,1800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.908536585365855
AMD E1-1200,CPU,40.0,18.0,75.0,624.0,1400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,95.25
Intel Core i3-2340UE,CPU,32.0,17.0,149.0,624.0,1300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,100.8529411764706
Intel Core i3-1005G1,CPU,10.0,25.0,148.0,624.0,1200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,68.58
AMD Mobile Athlon 64 3000+,CPU,130.0,82.0,193.0,106.0,1800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.908536585365855
Intel Xeon Platinum 8270,CPU,14.0,205.0,148.0,8000.0,2700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,8.363414634146341
AMD Sempron 3000+,CPU,90.0,25.0,148.0,69.0,1800.0,268.0,7.66,333.0,9.53,62.0,4.32,1.0,10.72
Intel Atom Z560,CPU,45.0,2.0,26.0,47.0,2133.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,857.25
Intel Pentium G840,CPU,32.0,65.0,131.0,504.0,2800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Phenom II X4 820,CPU,45.0,95.0,258.0,758.0,2800.0,2103.0,30.07,1138.0,16.27,95.0,22.14,4.0,22.13684210526316
AMD Opteron 43CX EE,CPU,32.0,35.0,315.0,1200.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD Ryzen 5 PRO 2400G,CPU,14.0,65.0,210.0,4950.0,3600.0,8378.0,15.04,2132.0,7.77,65.0,128.89,4.0,128.8923076923077
Intel Celeron G530,CPU,32.0,65.0,131.0,504.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Ryzen 5 PRO 1500,CPU,14.0,65.0,192.0,4800.0,3500.0,9402.0,15.04,2158.0,7.77,65.0,144.65,4.0,144.64615384615385
AMD Phenom II X4 840T,CPU,45.0,95.0,346.0,904.0,2900.0,2269.0,39.1,1274.0,21.96,95.0,23.88,4.0,23.88421052631579
Intel Core i7-11700K,CPU,14.0,125.0,148.0,624.0,3600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.716
Intel Pentium E5200,CPU,45.0,65.0,82.0,228.0,2500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Athlon 64 3600+,CPU,130.0,89.0,193.0,106.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,19.264044943820224
AMD Phenom X4 9100e,CPU,65.0,65.0,285.0,450.0,1800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Pentium M 770,CPU,90.0,27.0,84.0,140.0,2130.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,63.5
Intel Core 2 Quad Q8200,CPU,45.0,95.0,82.0,456.0,2333.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
Intel Celeron G4920,CPU,14.0,51.0,148.0,624.0,3200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,33.61764705882353
AMD Athlon 1333,CPU,180.0,70.0,120.0,37.0,1333.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,24.492857142857144
AMD Athlon 64 3200+,CPU,90.0,67.0,84.0,69.0,2000.0,340.0,2.27,568.0,3.79,62.0,5.48,1.0,5.074626865671642
AMD Turion X2 RM-77,CPU,65.0,35.0,148.0,624.0,2300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD Phenom II X4 910e,CPU,45.0,65.0,258.0,758.0,2600.0,2044.0,29.24,1076.0,15.39,65.0,31.44,4.0,31.446153846153845
Intel Atom D425,CPU,45.0,10.0,66.0,123.0,1834.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,171.45
AMD EPYC 7543P,CPU,7.0,225.0,148.0,624.0,2800.0,67144.0,22.39,2742.0,0.91,225.0,298.42,32.0,298.41777777777776
Intel Core i3-8120,CPU,14.0,65.0,148.0,624.0,3700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Core Duo T2400,CPU,65.0,31.0,90.0,151.0,1826.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,55.306451612903224
Intel Pentium 4-M 1.50,CPU,130.0,26.0,131.0,55.0,1500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,65.9423076923077
Intel Xeon MP 3.66,CPU,90.0,135.0,148.0,624.0,3667.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,12.7
Intel Xeon 2.66,CPU,130.0,89.0,217.0,55.0,2660.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,19.264044943820224
Intel Celeron D 326,CPU,90.0,73.0,109.0,125.0,2530.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,23.486301369863014
Intel Pentium Dual-Core E2180,CPU,65.0,65.0,77.0,105.0,2000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Sempron 3000+,CPU,90.0,62.0,148.0,63.0,1800.0,268.0,7.66,333.0,9.53,62.0,4.32,1.0,4.32258064516129
AMD A8-3510MX,CPU,32.0,45.0,228.0,1178.0,1800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
Intel Xeon Platinum 8380H,CPU,14.0,250.0,148.0,624.0,2900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,6.858
Intel Xeon Phi SE10X,CPU,22.0,300.0,350.0,5000.0,1100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,5.715
AMD Phenom II X3 740 BE,CPU,45.0,95.0,258.0,758.0,3000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
AMD Athlon Gold PRO 3150G,CPU,12.0,65.0,148.0,624.0,3500.0,7702.0,15.04,2321.0,7.77,65.0,118.49,4.0,118.49230769230769
AMD Opteron 252,CPU,90.0,92.0,148.0,106.0,2600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.63586956521739
Intel Core i5-6400,CPU,14.0,65.0,177.0,624.0,2700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Atom Z550,CPU,45.0,2.0,26.0,47.0,2000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,857.25
AMD Athlon II X4 620,CPU,45.0,95.0,169.0,300.0,2600.0,1934.0,35.19,1054.0,19.18,95.0,20.36,4.0,20.357894736842105
AMD Ryzen Threadripper 1950X,CPU,14.0,180.0,213.0,9600.0,3400.0,28037.0,40.96,2293.0,3.35,180.0,155.76,16.0,155.76111111111112
Intel Xeon E5-2420 v2,CPU,22.0,80.0,160.0,1400.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,21.43125
AMD A6-5350M,CPU,32.0,35.0,246.0,1178.0,2900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD Phenom X4 9550,CPU,65.0,95.0,285.0,450.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
Intel Core 2 Duo E7200,CPU,45.0,65.0,82.0,228.0,2533.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Xeon Platinum 8368Q,CPU,10.0,270.0,148.0,624.0,2600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,6.35
Intel Core Duo ULV L2500,CPU,65.0,9.0,90.0,151.0,1200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,190.5
Intel Mobile Pentium 4 HT 552,CPU,90.0,88.0,112.0,125.0,3467.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,19.482954545454547
Intel Xeon Platinum 8360H,CPU,14.0,225.0,148.0,624.0,3000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,7.62
Intel Xeon E5-4610,CPU,32.0,130.0,435.0,2270.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.188461538461539
